780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;7
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;7
780 05 2F 00 33 08 00 00 00                       788 05 6f 00 33 08 00 00 00   ;7
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;7
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;7
780 05 2F 00 33 08 02 00 00                       788 05 6f 00 33 08 02 00 00   ;7
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;7
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;7
780 05 2F 00 33 08 01 00 00                       788 05 6f 00 33 08 01 00 00   ;7
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;7
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;7
780 05 2F 00 34 08 00 00 00                       788 05 6f 00 34 08 00 00 00   ;7
780 02 10 01 00 00 00 00 00                       788 02 50 01 00 00 00 00 00   ;7
780 02 10 03 00 00 00 00 00                       788 02 50 03 00 00 00 00 00   ;7
780 05 2F 00 34 08 01 00 00                       788 05 6f 00 34 08 01 00 00   ;7
