7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 04 31 01 02 03 55 55 55                       7E9 04 71 01 02 03 55 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 04 31 01 0C 81 55 55 55                       7E9 04 71 01 0C 81 55 55 55   ;7
7E1 04 31 02 0C 81 55 55 55                       7E9 04 71 02 0C 81 55 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 04 31 01 0C 82 55 55 55                       7E9 04 71 01 0C 82 55 55 55   ;7
7E1 04 31 02 0C 82 55 55 55                       7E9 04 71 02 0C 82 55 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 05 31 01 0C 83 01 55 55                       7E9 05 71 01 0C 83 01 55 55   ;7
7E1 05 31 02 0C 83 01 55 55                       7E9 05 71 02 0C 83 01 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 05 31 01 0C 83 02 55 55                       7E9 05 71 01 0C 83 02 55 55   ;7
7E1 05 31 02 0C 83 02 55 55                       7E9 05 71 02 0C 83 02 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 05 31 01 0C 83 03 55 55                       7E9 05 71 01 0C 83 03 55 55   ;7
7E1 05 31 02 0C 83 03 55 55                       7E9 05 71 02 0C 83 03 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 05 31 01 0C 83 04 55 55                       7E9 05 71 01 0C 83 04 55 55   ;7
7E1 05 31 02 0C 83 04 55 55                       7E9 05 71 02 0C 83 04 55 55   ;7
7E1 02 10 01 00 00 00 00 00                       7E9 02 50 01 00 00 00 00 00   ;7
7E1 02 3E 80 00 00 00 00 00                       7E9 02 7e 80 00 00 00 00 00   ;7
7E1 05 31 01 0C 83 05 55 55                       7E9 05 71 01 0C 83 05 55 55   ;7
7E1 05 31 02 0C 83 05 55 55                       7E9 05 71 02 0C 83 05 55 55   ;7
